TU_ID	Gene_name	Start	End	Strand	Expression_E	Description	
80	hpt	141360	141966	+	11,39293246	hpt	606
81	can	142008	142702	-	22,47165486	can	694
82	panD	146314	146744	-	30,92713178	panD	430
84	panBC	147944	149629	-	5,134254537	panBC	1685
2123	yadC	149715	150952	-	0,107634056	yadC	1237
85	yadV-htrE	152829	156213	-	0,119976359	yadV-htrE	3384
88	pcnB-folK	157253	159170	-	19,98226395	pcnB-folK	1917
92	dksA-gluQ	159186	160656	-	56,59183673	dksA-gluQ	1470
95	sfsA-dksA	160149	161514	-	25,3908014	sfsA-dksA	1365
96	mrcB	164721	167263	+	1,917403798	mrcB	2542
97	fhuACDB	167442	173443	+	2,623854628	fhuACDB	6001
98	hemL	173602	174901	-	7,201180395	hemL	1299
101	erpA	176561	176953	+	10,08187232	erpA	392
102	mtn-btuF-yadS	177001	179182	-	4,454036336	mtn-btuF-yadS	2181
103	dgt	179214	180753	+	4,275936755	dgt	1539
105	degP	180845	182307	+	8,78342004	degP	1462
106	cdaR	182447	183619	+	1,601047137	cdaR	1172
107	dapD	185090	185976	-	21,51050765	dapD	886
108	glnD	185978	188654	-	1,27857977	glnD	2676
109	tff-rpsB-tsf	189712	191737	+	189,8740362	tff-rpsB-tsf	2025
110	pyrH	191812	192579	+	19,49335112	pyrH	767
111	frr	192814	193497	+	30,89348865	frr	683
112	ispU	194901	195663	+	31,38582677	ispU	762
114	rseP	196470	197897	+	12,14075374	rseP	1427
115	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	197026	208607	+	15,68392934	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	11581
116	bamA	197821	200359	+	25,39200021	bamA	2538
117	skp-lpxD-fabZ-lpxA	200455	203347	+	30,61024489	skp-lpxD-fabZ-lpxA	2892
118	lpxD	200960	201995	+	27,58336148	lpxD	1035
119	accA	208326	209579	+	39,90822027	accA	1253
2088	ldcC	209679	211819	+	0,767669591	ldcC	2140
121	yaeP-rof	213678	214186	-	3,692367381	yaeP-rof	508
122	yaeQ-arfB-nlpE	214280	215978	+	2,724240237	yaeQ-arfB-nlpE	1698
123	proS	217020	218836	-	11,51628647	proS	1816
124	metNIQ	220113	222713	-	4,102849909	metNIQ	2600
125	gmhB	222806	223407	+	5,209313154	gmhB	601
128	dkgB	229098	229969	+	1,141403749	dkgB	871
129	yafDE	231064	232548	+	1,800391363	yafDE	1484
132	rnhA	235535	236040	-	2,471662837	rnhA	505
130	dnaQ	235934	236797	+	5,344534569	dnaQ	863
2158	yafU	238746	239083	-	0,072658577	yafU	337
134	yafV	239419	240215	-	1,39641899	yafV	796
135	fadE	240859	243405	-	0,240371173	fadE	2546
136	dinJ-yafQ	245961	246614	-	4,14448866	dinJ-yafQ	653
137	dinB-yafNOP	250880	253160	+	0,484883236	dinB-yafNOP	2280
138	yafNOP	251969	253160	+	0,512313088	yafNOP	1191
139	pepD	254259	255736	-	60,93048973	pepD	1477
142	gpt	255914	256473	+	5,062150679	gpt	559
143	frsA	256502	257770	+	1,9804261	frsA	1268
144	crl_1	257810	257906	+	8,864583333	crl_1	96
146	phoE	258269	259381	-	180,8511325	phoE	1112
147	thrW	262065	262169	+	6,525888613	thrW	104
2146	ykfGH-yafW-ykfI	262552	263955	-	0,644773317	ykfGH-yafW-ykfI	1403
148	ykfBF-yafX-ykfGH-yafW-ykfI	262552	265450	-	2,727168162	ykfBF-yafX-ykfGH-yafW-ykfI	2898
150	yafZ	266408	267249	-	0,274219887	yafZ	841
151	insN-1I-1O-1	269450	271478	+	1,452125312	insN-1I-1O-1	2028
152	mhpT	374610	375893	+	0,093129457	mhpT	1283
153	tauABCD	384429	387869	+	0,078012947	tauABCD	3440
154	hemB	387977	388977	-	10,34515329	hemB	1000
155	ampH	394354	395586	-	2,281926407	ampH	1232
157	sbmA-yaiW	395777	398189	+	1,063803398	sbmA-yaiW	2412
158	yaiZ	398678	399028	+	0,81327483	yaiZ	350
159	iraP	400587	400869	+	15,86288416	iraP	282
161	phoA-psiF	400931	402824	+	67,00108805	phoA-psiF	1893
162	dgcC	402911	404041	+	0,297836991	dgcC	1130
163	proC	404010	404909	-	2,106207102	proC	899
164	aroL-yaiA-aroM	405504	407328	+	7,650584795	aroL-yaiA-aroM	1824
2150	yaiA-aroM	406203	407328	+	2,342632012	yaiA-aroM	1125
166	ppnP	407372	407684	+	9,996016114	ppnP	312
167	ykiA	407798	408173	+	0,86101389	ykiA	375
168	araJ	410521	411752	-	0,277288098	araJ	1231
169	sbcDC	411831	416200	-	0,874739149	sbcDC	4369
170	phoBR	416325	418407	+	12,43410794	phoBR	2082
171	brnQ-proY	418712	421582	+	1,004024154	brnQ-proY	2870
172	malZ	421719	423731	+	1,707090789	malZ	2012
174	queA	424209	425304	+	2,954096878	queA	1095
175	tgt-yajC	425279	427009	+	16,83896061	tgt-yajC	1730
176	yajC-secDF	426429	429699	+	19,10864657	yajC-secDF	3270
177	tsx	430320	431314	-	149,0955734	tsx	994
179	nrdR-ribDE-nusB-thiL-pgpA	432201	436330	+	3,667923804	nrdR-ribDE-nusB-thiL-pgpA	4129
180	ribE-nusB-thiL-pgpA	433728	436330	+	4,282364546	ribE-nusB-thiL-pgpA	2602
2119	yajO	436385	437358	-	2,36480934	yajO	973
181	xseB-ispA-dxs-yajO	436385	440596	-	4,181138599	xseB-ispA-dxs-yajO	4211
182	thiI	440692	442220	+	4,14470464	thiI	1528
183	yajQ	443882	444397	+	23,80634184	yajQ	515
184	yajR	444526	445910	-	0,852980922	yajR	1384
185	cyoABCDE	446039	450876	-	59,32087888	cyoABCDE	4837
187	yajG-ampG	451294	453433	-	6,910015227	yajG-ampG	2139
186	yajG	452781	453433	-	17,08525401	yajG	652
188	bolA	453658	454088	+	29,3496124	bolA	430
190	tig	454217	455654	+	330,1354674	tig	1437
192	clpPX	455829	457978	+	47,60912052	clpPX	2149
195	clpX-lon	456426	460465	+	15,05833896	clpX-lon	4039
196	lon	458039	460465	+	14,67859981	lon	2426
197	hupB	460619	461001	+	277,1038394	hupB	382
205	ppiD	461043	463009	+	37,82163445	ppiD	1966
207	fadM	463584	464023	+	0,602785095	fadM	439
208	decR	467576	468064	+	1,533691738	decR	488
209	glnK-amtB	471780	473524	+	0,245105344	glnK-amtB	1744
210	tesB	473525	474424	-	0,609060254	tesB	899
211	ylaC	478005	478511	-	6,764910856	ylaC	506
212	tomB-hha	479314	480017	-	8,000048249	tomB-hha	703
213	acrB	480478	483908	-	11,32742331	acrB	3430
214	acrAB	480478	484921	-	11,882935	acrAB	4443
215	acrR	484923	485631	+	2,475552222	acrR	708
216	mscK	485716	489121	+	1,353068294	mscK	3405
217	apt	490534	491186	+	6,759162326	apt	652
218	dnaX	491280	493246	+	1,58757013	dnaX	1966
219	ybaB-recR	492933	494233	+	10,89591925	ybaB-recR	1300
220	htpG	494308	496252	+	69,25257202	htpG	1944
223	adk	496363	497042	+	33,97383891	adk	679
224	hemH	497255	498240	+	1,178004518	hemH	985
225	aes	498169	499274	-	0,310455421	aes	1105
226	ybaL	500786	502518	-	2,387428521	ybaL	1732
227	chiX	506428	506510	+	0,588514502	chiX	82
228	ybaQ	507415	507782	+	4,994466333	ybaQ	367
229	copA	508099	510634	-	0,646103744	copA	2535
230	glsA-ybaT	510797	513091	+	0,155800434	glsA-ybaT	2294
231	qmcA-ybbJ	513625	515046	-	1,052515527	qmcA-ybbJ	1421
232	fetAB	515127	516585	+	1,642504719	fetAB	1458
233	ybbN	516649	517713	-	4,55303846	ybbN	1064
234	tesA-ybbO	517564	519172	-	1,610668536	tesA-ybbO	1608
235	allS	530519	531523	-	0,023403722	allS	1004
236	allA	531614	532156	+	0,323325894	allA	542
2092	allR	532235	533049	+	4,062330812	allR	814
237	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	533131	542256	+	0,048412925	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	9125
238	ybbY-glxK	539583	542256	+	0,065863103	ybbY-glxK	2673
2124	glxK	541112	542256	+	0,063659613	glxK	1144
239	allDCE	542485	545634	-	0,282149886	allDCE	3149
240	purEK	550750	552364	-	0,65857998	purEK	1614
241	cysS	553800	555218	+	4,35437226	cysS	1418
242	folD-ybcJ	555884	557003	-	3,922459873	folD-ybcJ	1119
244	nmpC	574981	576092	-	53,95976985	nmpC	1111
245	essD-rrrD-rzpD	576096	577790	+	0,562347923	essD-rrrD-rzpD	1694
246	borD	577823	578143	-	9,056924354	borD	320
247	appY	582879	583652	+	0,172488141	appY	773
249	ompT	583903	584887	-	124,1989684	ompT	984
250	cusRS	592551	594684	-	0,402054088	cusRS	2133
251	cusCFBA	594796	601079	+	0,126261895	cusCFBA	6283
252	pheP	601152	602631	+	1,110366986	pheP	1479
253	nfsB	603994	604675	-	9,441129831	nfsB	681
254	hokE	606954	607210	+	0,045962883	hokE	256
255	fepA-entD	608682	611889	-	0,275164928	fepA-entD	3207
256	fes-ybdZ-entF-fepE	611910	618609	+	0,256657226	fes-ybdZ-entF-fepE	6699
257	fepDGC	618607	621414	-	0,781498634	fepDGC	2807
259	entS	621476	622772	+	0,560442387	entS	1296
261	fepB	622777	623949	-	0,442044259	fepB	1172
262	entCEBAH	624054	628935	+	0,407881188	entCEBAH	4881
263	entH	628515	628935	+	0,901008819	entH	420
264	cstA	629096	631313	+	4,16433619	cstA	2217
267	ybdN	634572	635908	-	0,073894198	ybdN	1336
269	dsbG	637050	638022	-	2,872695525	dsbG	972
268	ahpCF	637916	640540	+	128,4563008	ahpCF	2624
271	ahpF	638225	640540	+	44,41076545	ahpF	2315
272	uspG	640662	641125	-	6,130686689	uspG	463
273	rna	643420	644256	-	5,155012429	rna	836
274	citCDEFXG	645854	651174	-	0,103383459	citCDEFXG	5320
275	dpiBA	651395	653764	+	0,787955537	dpiBA	2369
278	dcuC	655408	656504	-	0,55960408	dcuC	1096
279	pagP	658070	658660	+	0,404568262	pagP	590
280	cspE	658794	659044	+	541,304	cspE	250
282	lipA	660795	661844	-	11,19977512	lipA	1049
283	ybeD-lipB	663181	664249	-	4,339997559	ybeD-lipB	1068
284	rsfS-rlmH-mrdAB-rlpA	665646	670615	-	3,872754779	rsfS-rlmH-mrdAB-rlpA	4969
285	ybeL	676537	677043	+	4,984718475	ybeL	506
286	gltI-sroC-gltJKL	686074	689439	-	8,780089153	gltI-sroC-gltJKL	3365
287	ybeZYX-lnt	690887	695012	-	8,391414499	ybeZYX-lnt	4125
289	asnB	699057	700765	-	3,128119114	asnB	1708
290	umpH	701118	701895	-	2,787902387	umpH	777
294	nagBAC-umpH	701118	705251	-	4,263375073	nagBAC-umpH	4133
291	nagC	701918	703551	-	6,452745458	nagC	1633
293	nagA	703147	704718	-	5,109219158	nagA	1571
295	nagE	705384	707508	+	10,27035805	nagE	2124
296	glnS	707604	709521	+	28,26638845	glnS	1917
298	chiPQ	709780	711659	+	0,766095645	chiPQ	1879
299	fur	711706	712259	-	86,75647981	fur	553
303	uof-fur	711706	712372	-	72,78378378	uof-fur	666
305	fldA-uof-fur	711706	713064	-	50,10186549	fldA-uof-fur	1358
307	ybfE	713149	713482	-	4,129392692	ybfE	333
308	seqA-pgm	714486	716785	+	11,61278071	seqA-pgm	2299
309	ybfHG	717491	718184	-	0,068498416	ybfHG	693
310	kdpFABC	725951	730392	-	0,025947886	kdpFABC	4441
311	ybgA-phr	740524	742468	+	0,804012346	ybgA-phr	1944
313	phr	740965	742468	+	0,266651266	phr	1503
314	ybgI-pxpBCA-nei	744342	748269	+	5,440624735	ybgI-pxpBCA-nei	3927
316	gltA	754670	756213	-	192,5716137	gltA	1543
318	sdhCDAB-sucABCD	756502	766592	+	25,10223059	sdhCDAB-sucABCD	10090
319	sdhDAB	756948	759993	+	24,92576023	sdhDAB	3045
321	sucAB	760130	764509	+	21,57806223	sucAB	4379
320	sucABCD	760130	766592	+	23,68958891	sucABCD	6462
323	mngR	766697	767469	-	1,575946907	mngR	772
322	mngAB	767355	772154	+	0,143908795	mngAB	4799
324	cydAB	772828	775724	+	40,87580571	cydAB	2896
330	nadA-pnuC	783605	785428	+	0,634776588	nadA-pnuC	1823
331	aroG	787135	788364	+	9,665207996	aroG	1229
332	gpmA	788387	789175	-	131,7026227	gpmA	788
335	galETKM	789341	793720	-	5,039430616	galETKM	4379
334	galK	790375	792006	-	1,486634661	galK	1631
340	galETK	790375	793629	-	2,432288465	galETK	3254
338	galET	791527	793629	-	1,081509673	galET	2102
336	galE	792583	793629	-	0,980560867	galE	1046
346	ybhC	807542	808864	-	3,576891754	ybhC	1322
347	bioA	809512	810835	-	0,500639953	bioA	1323
348	bioBFCD	810846	814490	+	0,193807004	bioBFCD	3644
349	uvrB	815037	817090	+	5,343562267	uvrB	2053
352	moaABCDE	818458	821290	+	3,143596987	moaABCDE	2832
354	moaBCDE	819521	821290	+	1,087086821	moaBCDE	1769
355	ybhL	821402	822131	+	5,064575844	ybhL	729
356	ybhQ	826145	826583	+	6,642679851	ybhQ	438
357	cecR-ybhGFSR	826546	832212	-	0,5052377	cecR-ybhGFSR	5666
372	moeAB	865924	867937	-	0,836721314	moeAB	2013
373	iaaA-gsiABCD	868081	874344	+	0,668465846	iaaA-gsiABCD	6263
374	rimO	878254	879613	-	3,146377455	rimO	1359
375	gstB	881398	882062	-	3,460017022	gstB	664
376	dacC	882197	883472	+	3,310761455	dacC	1275
2108	deoR	883520	884277	-	1,957995056	deoR	757
377	ybjG	884336	885051	-	2,663180097	ybjG	715
378	mdfA	885193	886481	+	2,194875776	mdfA	1288
380	rybB	889521	889600	-	1,49329154	rybB	79
381	grxA	892040	892319	-	1,346517636	grxA	279
382	ybjC-nfsA-rimK-ybjN	892436	894976	+	6,61470166	ybjC-nfsA-rimK-ybjN	2540
383	rimK-ybjN	893420	894976	+	5,302012496	rimK-ybjN	1556
2131	ybjN	894501	894976	+	6,123540784	ybjN	475
384	potFGHI	895178	899472	+	0,327278373	potFGHI	4294
386	artJ	901192	902169	-	0,492351471	artJ	977
387	artPIQM	902239	905312	-	6,668944571	artPIQM	3073
392	ybjP	905496	906066	-	3,087058642	ybjP	570
391	ybjQ-amiD	906061	907286	+	1,479242873	ybjQ-amiD	1225
393	ltaE-ybjT	908396	910863	-	0,724215186	ltaE-ybjT	2467
394	poxB	910875	912619	-	0,759715579	poxB	1744
396	hcp-hcr-poxB	910875	915388	-	0,395207607	hcp-hcr-poxB	4513
395	hcp-hcr	912726	915672	-	0,480878027	hcp-hcr	2946
398	lysO	915502	916438	-	0,484872396	lysO	936
399	ybjX	919672	920646	-	8,486546284	ybjX	974
400	cspD	923910	924219	-	13,39756586	cspD	309
401	clpA	924624	927083	+	40,08377389	clpA	2459
406	infA	927706	928022	-	126,2637131	infA	316
408	cydDC	929018	932574	-	1,072509087	cydDC	3556
409	trxB	932563	933621	-	13,57972795	trxB	1058
410	lrp	933872	934632	+	25,03904768	lrp	760
411	ftsK	934473	938756	+	9,800217916	ftsK	4283
413	lolA-rarA	938872	940880	+	3,325609366	lolA-rarA	2008
414	serS	940909	942308	+	18,62436211	serS	1399
415	dmsABC	942422	946439	+	1,042901004	dmsABC	4017
417	pflA	951845	952697	-	3,231225585	pflA	852
418	pflB	952751	955394	-	144,3279102	pflB	2643
423	focA-pflB	952751	956036	-	120,4746829	focA-pflB	3285
426	serC	959139	960284	+	18,58107715	serC	1145
428	serC-aroA	959139	961638	+	5,501006744	serC-aroA	2499
429	cmk-rpsA	962709	965211	+	241,5533869	cmk-rpsA	2502
430	rpsA-ihfB	963403	965655	+	736,8108348	rpsA-ihfB	2252
432	ihfB	965293	965655	+	33,98842876	ihfB	362
433	ycaR-kdsB	972186	973141	+	4,90328676	ycaR-kdsB	955
434	ycbJ	973216	974188	+	0,889149601	ycbJ	972
435	cmoM-mukFEB	974948	982329	+	7,577960934	cmoM-mukFEB	7381
436	ldtD	982475	984437	+	1,342695614	ldtD	1962
437	ycbK-gloC	984567	985840	+	7,200682704	ycbK-gloC	1273
438	aspC	986063	987286	-	12,00447049	aspC	1223
439	ompF	987438	988635	-	210,9897971	ompF	1197
440	asnS	989129	990587	-	14,74406744	asnS	1458
441	pncB	990698	991957	-	4,138026959	pncB	1259
442	pepN	992135	994777	+	10,73848666	pepN	2642
443	ssuEADCB	994821	999106	-	0,076089681	ssuEADCB	4285
444	pyrD	1006276	1007321	+	1,384276511	pyrD	1045
445	rlmL-uup	1009216	1013414	+	4,052922064	rlmL-uup	4198
446	pqiABC	1013203	1017002	+	6,04702992	pqiABC	3799
448	rmf	1017201	1017467	+	6,659514051	rmf	266
449	fabA	1017496	1018041	-	43,61778996	fabA	545
450	matP	1020003	1020480	+	2,760725095	matP	477
451	ompA	1020557	1021730	-	772,5208866	ompA	1173
453	sulA	1021954	1022490	-	3,569152377	sulA	536
454	sxy	1022627	1023310	+	1,105548787	sxy	683
455	yccFS	1023274	1025908	-	1,252684426	yccFS	2634
456	helD	1025982	1028068	+	1,172043341	helD	2086
457	mgsA	1028101	1028584	-	19,47604628	mgsA	483
458	yccT	1028655	1029380	-	0,208805482	yccT	725
2170	hspQ	1029948	1030264	-	10,21307483	hspQ	316
459	yccA	1032303	1032986	-	19,44406413	yccA	683
462	hyaABCDEF	1033528	1039177	+	0,060696219	hyaABCDEF	5649
463	appCBXA	1039254	1043458	+	0,137002886	appCBXA	4204
464	appA	1042143	1043458	+	0,150415547	appA	1315
465	gfcA	1050983	1052245	-	1,77288642	gfcA	1262
466	torR	1058806	1059527	-	0,466820652	torR	721
467	torCAD	1059600	1063941	+	0,079898084	torCAD	4341
468	cbpAM	1064094	1065371	-	2,950926651	cbpAM	1277
2162	yccE	1065580	1066835	+	0,019595272	yccE	1255
472	agp	1067103	1068400	+	0,966642886	agp	1297
473	wrbA-yccJ	1068408	1069301	-	6,145771299	wrbA-yccJ	893
474	rutABCDEFG	1070055	1075569	-	0,035055652	rutABCDEFG	5514
475	rutR	1075678	1076423	+	3,245190157	rutR	745
477	putA	1076464	1080468	-	2,9639186	putA	4004
478	putP	1080754	1082381	+	10,5320631	putP	1627
483	efeU_1U_2	1082851	1083728	+	1,165086311	efeU_1U_2	877
484	phoH	1086482	1087638	+	6,925317186	phoH	1156
486	pgaABCD	1087650	1094066	-	0,460159696	pgaABCD	6416
487	dgcT	1094385	1095777	+	0,280449168	dgcT	1392
489	ycdZ	1101615	1102149	+	25,2321382	ycdZ	534
490	csgDEFG	1102214	1104697	-	0,603033964	csgDEFG	2483
492	csgBAC	1105222	1106655	+	0,134647887	csgBAC	1433
2130	csgC	1106324	1106655	+	0,073372695	csgC	331
493	ymdA	1108074	1108423	+	0,135211231	ymdA	349
495	ymdAB	1108074	1109051	+	0,726583442	ymdAB	977
494	ymdAB-clsC	1108074	1110474	+	0,616868819	ymdAB-clsC	2400
497	ymdB	1108502	1109051	+	1,204838562	ymdB	549
496	ymdB-clsC	1108502	1110474	+	0,72657536	ymdB-clsC	1972
498	clsC	1108991	1110474	+	0,60183347	clsC	1483
499	opgGH	1111977	1116258	+	20,90812116	opgGH	4281
501	msyB	1116506	1116911	-	4,213836834	msyB	405
502	lpxL	1118361	1119407	-	1,263337875	lpxL	1046
503	yceA	1119471	1120557	+	2,758188471	yceA	1086
504	yceJI	1120600	1121769	-	1,166313089	yceJI	1169
505	solA-yceO	1122006	1123307	-	2,793697122	solA-yceO	1301
506	bssS	1123400	1123718	-	19,83857442	bssS	318
509	dinI	1123941	1124207	-	2,563769522	dinI	266
510	pyrC	1124260	1125341	-	1,350408301	pyrC	1081
511	grxB	1126106	1126801	-	7,080961239	grxB	695
512	rimJ	1128221	1128844	+	3,841326432	rimJ	623
513	flgMN	1132113	1132863	-	1,123648565	flgMN	750
514	flgAMN	1132113	1133583	-	1,021410319	flgAMN	1470
515	flgBCDEFGHIJ	1133692	1141010	+	1,212793459	flgBCDEFGHIJ	7318
516	flgKL	1141050	1143684	+	0,411015729	flgKL	2634
517	rne	1143881	1147426	-	30,7325811	rne	3545
521	sraB	1149288	1149450	+	19,98159315	sraB	162
522	yceD-rpmF	1149490	1150238	+	543,0142602	yceD-rpmF	748
524	rpmF-plsX-fabHDG	1150037	1154102	+	62,56419593	rpmF-plsX-fabHDG	4065
525	plsX-fabHDG	1150276	1154102	+	44,71314943	plsX-fabHDG	3826
526	fabHDG	1151215	1154102	+	50,66365058	fabHDG	2887
528	acpP	1154274	1154585	+	280,6265299	acpP	311
527	acpP-fabF	1154274	1155878	+	89,12658804	acpP-fabF	1604
529	ptsG	1160465	1162000	+	73,34527687	ptsG	1535
531	fhuE	1162024	1164345	-	0,307598818	fhuE	2321
532	ndh	1168691	1170087	+	7,946106152	ndh	1396
533	comR	1170899	1171542	-	1,732121533	comR	643
534	bhsA	1171732	1172028	+	3,434684685	bhsA	296
536	ldtC	1172111	1173115	-	0,587474619	ldtC	1004
537	mfd	1173217	1176690	-	4,442172953	mfd	3473
539	pepT	1188522	1189768	+	2,076892506	pepT	1246
540	phoQ	1191015	1192638	-	4,417275673	phoQ	1623
541	phoPQ	1191015	1193181	-	16,12034472	phoPQ	2166
544	hflD-purB	1193315	1195384	-	4,683313274	hflD-purB	2069
2101	mnmA	1195366	1196471	-	4,216061269	mnmA	1105
545	iraM	1214379	1214788	-	1,946210269	iraM	409
547	bluR	1216027	1216811	-	3,876425554	bluR	784
548	bluF	1216963	1218204	-	1,255845319	bluF	1241
549	ycgZ-ymgA-ariR-ymgC	1218451	1219694	+	0,261536554	ycgZ-ymgA-ariR-ymgC	1243
550	ycgL	1230308	1230705	+	4,186546154	ycgL	397
551	hlyE	1232182	1233164	-	0,056176909	hlyE	982
552	umuDC	1233437	1235152	+	0,26862095	umuDC	1715
553	fadR	1237615	1238396	+	17,10840802	fadR	781
555	ycgB	1238408	1239983	-	0,588355456	ycgB	1575
556	dadAX	1240237	1242647	+	10,85449516	dadAX	2410
559	ycgR	1246492	1247254	-	0,255751235	ycgR	762
560	treA	1248378	1250123	-	0,892638558	treA	1745
2132	dhaM	1250395	1251812	-	20,45747153	dhaM	1417
561	dhaKLM	1250395	1253642	-	18,36546813	dhaKLM	3247
562	dhaR	1253702	1255683	+	0,92828787	dhaR	1981
563	ychF	1259420	1260580	-	10,10098076	ychF	1160
564	pth-ychF	1259420	1261240	-	7,408553646	pth-ychF	1820
565	ychH	1261437	1261767	+	15,35758397	ychH	330
566	prs	1263594	1264875	-	23,6916133	prs	1281
567	lolB-ispE-prs	1263594	1266254	-	13,17706904	lolB-ispE-prs	2660
568	hemA	1266282	1267668	+	2,76189811	hemA	1386
569	hemA-prfA-prmC	1266375	1269625	+	2,984720137	hemA-prfA-prmC	3250
570	ychQA-kdsA	1269598	1271765	+	5,521883069	ychQA-kdsA	2167
571	kdsA	1270553	1271765	+	7,795075185	kdsA	1212
572	chaC	1275121	1275900	+	1,234392603	chaC	779
573	ychO	1276459	1277876	+	1,052380749	ychO	1417
574	narXL	1277878	1280475	-	1,828056914	narXL	2597
575	narK	1280520	1282046	+	0,427260813	narK	1526
577	narGHJI	1282506	1289224	+	0,155292892	narGHJI	6718
2152	tyrV-tpr	1289708	1290026	-	2,646704206	tyrV-tpr	318
